sk8tag,name,lat,lon
sk863vsurs,Skatepark Requínoa,-34.2790506,-70.8230827
sk863vtwn6,Skate Park,-34.1546082,-70.7479519
sk863vv843,Skatepark Chacón,-34.176524,-70.6617149
sk863vv8dc,skatepark,-34.1736597,-70.6394431
sk863z7hdg,skatepark,-34.6137753,-68.3518184
sk863z7j78,Parkour,-34.6095811,-68.3229849
sk866j0fr0,Plaza Deportiva Generación Unida,-33.5784741,-71.6190753
sk866j14v3,skate park,-33.544986,-71.5960179
sk866j41kf,Bowlpark Algarrobo,-33.3720914,-71.6600235
sk866j80kx,skatepark,-33.7240389,-70.9945276
sk866j83w4,Skatepark Talagante,-33.6728303,-70.9461817
sk866j8zkq,skatepark,-33.5935669,-70.6883627
sk866j8zks,skatepark,-33.5928787,-70.6912152
sk866j8zwm,skatepark,-33.5834544,-70.6790785
sk866j9j4v,skatepark,-33.5590263,-70.7890043
sk866j9m3k,Rampla Skate,-33.5231628,-70.7791233
sk866j9m7h,skatepark,-33.5134113,-70.7784361
sk866j9mx8,Parque Skate La Farfana,-33.4884136,-70.7730251
sk866j9p8s,Skatepark Villa El Esfuerzo,-33.5709237,-70.6798373
sk866j9pwc,skatepark,-33.536856,-70.6835285
sk866j9pzd,skatepark,-33.5324187,-70.6721565
sk866j9qkv,skatepark,-33.5037023,-70.7339215
sk866j9qw3,skatepark,-33.4949952,-70.7274091
sk866j9rz9,skatepark,-33.4882418,-70.6732775
sk866j9txj,skatepark,-33.4476139,-70.766477
sk866j9vgh,Skatepark La Hondonada,-33.4254865,-70.7564881
sk866j9vvk,Skatepark Mapocho Río,-33.4133086,-70.7560993
sk866j9w8h,skatepark,-33.4853349,-70.7235879
sk866j9wpj,Skatepark Pudahuel,-33.447108,-70.7450172
sk866j9x1w,skatepark,-33.4767152,-70.6984863
sk866j9y7s,skatepark,-33.4221612,-70.7342303
sk866j9yb0,Skatepark Santa Anita,-33.4412625,-70.7186772
sk866j9yde,skatepark,-33.4279423,-70.7249389
sk866j9yj6,Skatepark Parque Mapocho Río,-33.4128524,-70.7486367
sk866j9zfk,Skatepark Parque de los Reyes,-33.4286909,-70.6689162
sk866j9zn4,Skatepark Bowl,-33.4086298,-70.7043442
sk866j9zr9,skatepark,-33.4010364,-70.6953239
sk866j9zu5,skatepark,-33.4190894,-70.6701527
sk866jb633,Skatepark Principal,-33.6991882,-70.5626721
sk866jbbtt,skatepark,-33.586954,-70.6345933
sk866jbccy,skatepark,-33.607765,-70.5784687
sk866jbdnb,"Skatepark A. Donoso ""Pirque""",-33.6249806,-70.5753074
sk866jc0mf,skatepark CEVS,-33.5414376,-70.6498736
sk866jc188,Skatepark Municipal,-33.5711855,-70.5977658
sk866jc1jw,Skatepark Villa Los Rosales,-33.5427165,-70.6112564
sk866jc2b4,Skatepark Combarbala,-33.5301193,-70.6275428
sk866jc2kz,skatepark,-33.5040547,-70.6424622
sk866jc2pw,skatepark,-33.488987,-70.6544914
sk866jc34t,skatepark,-33.5165377,-70.6122928
sk866jc392,Skatepark Bandejón Central,-33.5223037,-70.5980151
sk866jc3q2,Skatepark Macul,-33.4954153,-70.6081387
sk866jc43p,skatepark,-33.5681692,-70.5549326
sk866jc81c,skatepark,-33.4758971,-70.662005
sk866jc83d,skatepark,-33.4768963,-70.6497303
sk866jc897,Skatepark San Joaquín,-33.4789198,-70.6374883
sk866jc8hh,Skatepark Parque O'Higgins,-33.4636147,-70.6573849
sk866jc95j,Circuitos Skateboarding,-33.4687312,-70.612859
sk866jc9bk,skatepark,-33.483612,-70.5806792
sk866jc9t7,skatepark,-33.4563651,-70.5939151
sk866jcb87,skatepark,-33.4405219,-70.6374034
sk866jcb8p,Skatepark Parque Bustamante,-33.4420374,-70.6316561
sk866jcbrr,skatepark,-33.4012705,-70.6432451
sk866jcde9,skatepark,-33.4657325,-70.5522196
sk866jcdeu,Skatepark Peñalolén,-33.464423,-70.5478104
sk866jcdg8,Skatepark Peñalolen,-33.4669337,-70.5424458
sk866jcf3j,skatepark,-33.4359735,-70.5578987
sk866jcfbr,skatepark,-33.4401824,-70.5327627
sk866jcffe,Skatepark Las Condes 2,-33.4278286,-70.5385911
sk866jcfpk,Skatepark Parque Araucano,-33.401469,-70.5702802
sk866jcfq5,skatepark,-33.4090093,-70.5603984
sk866jcfwr,skatepark,-33.4074365,-70.5444766
sk866jdnjd,Skatepark Valle de La Luna,-33.368189,-70.7480903
sk866jdnn8,skatepark,-33.3620244,-70.7516375
sk866jdnx2,Pista Skate Lo Marcoleta,-33.3577286,-70.7286888
sk866jdnx6,Pista Skate Las Torres,-33.3581005,-70.7270136
sk866jdp6k,Skatepark Las Americas,-33.3853678,-70.691124
sk866jdpwr,Skatepark Huechuraba,-33.3627879,-70.6754136
sk866jdqjg,skatepark,-33.3225327,-70.7475905
